Date,Time,PWM,Voltage (V),Current (A),Power (W),Thrmstr1,Thrmstr2,Thrmstr3,Thrmstr4,Thrmstr5,Thrmstr6,ThrmstrOut,BME_Temp,BME_Hum,BME_Press
2025-9-21,16:7:47,26,0.000,0.001,0.000,27.90,27.94,27.86,28.25,28.10,28.70,26.05,22.41,37.98,1011.99
2025-9-21,16:7:47,26,0.000,0.001,0.000,27.90,27.93,27.86,28.25,28.10,28.70,26.05,22.41,38.07,1012.00
2025-9-21,16:7:48,26,0.955,0.169,0.620,27.90,27.94,27.85,28.26,28.11,28.70,26.05,22.42,37.99,1011.97
2025-9-21,16:7:49,26,0.955,0.169,0.620,27.91,27.95,27.85,28.27,28.12,28.71,26.05,22.42,37.99,1012.00
2025-9-21,16:7:50,26,3.703,0.654,2.420,27.91,27.97,27.86,28.28,28.12,28.73,26.05,22.42,37.99,1012.00
2025-9-21,16:7:51,26,3.703,0.654,2.420,27.92,27.98,27.86,28.30,28.13,28.74,26.05,22.41,37.99,1012.01
2025-9-21,16:7:52,26,3.704,0.654,2.420,27.93,28.00,27.86,28.32,28.14,28.76,26.05,22.42,38.00,1011.98
2025-9-21,16:7:53,26,3.704,0.654,2.420,27.94,28.01,27.87,28.33,28.15,28.77,26.05,22.42,38.01,1011.99
2025-9-21,16:7:54,26,3.704,0.654,2.420,27.95,28.03,27.88,28.35,28.16,28.79,26.05,22.42,37.98,1012.00
2025-9-21,16:7:55,26,3.704,0.654,2.420,27.97,28.04,27.88,28.36,28.17,28.80,26.05,22.42,38.01,1012.00
2025-9-21,16:7:56,26,3.704,0.654,2.420,27.98,28.06,27.89,28.37,28.18,28.81,26.05,22.42,38.01,1011.99
2025-9-21,16:7:57,26,3.704,0.654,2.420,27.99,28.07,27.90,28.39,28.19,28.82,26.05,22.42,38.01,1012.00
2025-9-21,16:7:58,26,3.704,0.654,2.420,28.00,28.08,27.91,28.41,28.20,28.83,26.05,22.42,38.00,1012.01
2025-9-21,16:7:59,26,3.704,0.654,2.420,28.01,28.09,27.92,28.42,28.21,28.84,26.05,22.42,37.99,1012.01
2025-9-21,16:8:0,26,3.704,0.654,2.420,28.02,28.10,27.93,28.44,28.22,28.85,26.05,22.41,37.99,1011.98
2025-9-21,16:8:1,26,3.705,0.654,2.420,28.04,28.11,27.94,28.45,28.23,28.86,26.05,22.41,37.99,1011.96
2025-9-21,16:8:2,26,3.705,0.654,2.420,28.05,28.13,27.96,28.46,28.24,28.87,26.05,22.42,37.99,1011.97
2025-9-21,16:8:3,26,3.705,0.654,2.420,28.06,28.14,27.97,28.48,28.26,28.88,26.05,22.41,38.00,1011.95
2025-9-21,16:8:4,26,3.705,0.654,2.420,28.07,28.14,27.98,28.49,28.27,28.89,26.05,22.41,38.00,1011.98
2025-9-21,16:8:5,26,3.705,0.654,2.420,28.09,28.15,27.99,28.51,28.29,28.90,26.05,22.41,38.01,1011.99
2025-9-21,16:8:6,26,3.705,0.654,2.420,28.10,28.17,28.01,28.52,28.30,28.91,26.05,22.41,38.01,1011.97
2025-9-21,16:8:7,26,3.705,0.654,2.420,28.11,28.18,28.02,28.54,28.32,28.92,26.05,22.41,38.01,1011.99
2025-9-21,16:8:8,26,3.705,0.654,2.420,28.12,28.19,28.03,28.56,28.33,28.94,26.05,22.42,38.02,1012.01
2025-9-21,16:8:9,26,3.705,0.654,2.420,28.13,28.20,28.05,28.57,28.35,28.95,26.06,22.41,38.03,1011.99
2025-9-21,16:8:10,26,3.706,0.654,2.420,28.14,28.22,28.06,28.59,28.36,28.96,26.06,22.41,38.03,1011.99
2025-9-21,16:8:11,26,3.706,0.654,2.420,28.15,28.23,28.07,28.61,28.38,28.98,26.06,22.41,38.02,1011.99
2025-9-21,16:8:12,26,3.705,0.654,2.420,28.16,28.25,28.09,28.63,28.39,28.99,26.06,22.41,38.03,1011.99
2025-9-21,16:8:13,26,3.705,0.654,2.420,28.17,28.26,28.10,28.64,28.41,29.01,26.06,22.41,38.02,1011.99
2025-9-21,16:8:14,26,3.705,0.654,2.420,28.18,28.27,28.11,28.66,28.42,29.02,26.06,22.42,38.02,1012.00
2025-9-21,16:8:15,26,3.706,0.654,2.420,28.19,28.29,28.12,28.67,28.44,29.03,26.06,22.41,38.03,1012.02
2025-9-21,16:8:16,26,3.706,0.654,2.420,28.20,28.30,28.12,28.69,28.45,29.05,26.06,22.41,38.03,1012.00
2025-9-21,16:8:17,26,3.705,0.654,2.420,28.21,28.32,28.13,28.71,28.47,29.06,26.06,22.41,38.04,1012.01
