Date,Time,PWM,Voltage (V),Current (A),Power (W),Thrmstr1,Thrmstr2,Thrmstr3,Thrmstr4,Thrmstr5,Thrmstr6,ThrmstrOut,BME_Temp,BME_Hum,BME_Press
2025-9-20,12:30:32,0,0.000,0.001,0.000,35.66,35.79,35.75,36.21,35.95,36.29,26.12,26.11,52.30,996.20
2025-9-20,12:30:33,0,0.000,0.001,0.000,35.65,35.79,35.74,36.21,35.94,36.28,26.12,26.09,52.33,996.19
2025-9-20,12:30:34,0,0.000,0.001,0.000,35.65,35.78,35.74,36.20,35.94,36.28,26.11,26.08,52.36,996.21
2025-9-20,12:30:35,0,0.000,0.001,0.000,35.64,35.78,35.73,36.19,35.93,36.27,26.11,26.06,52.38,996.16
2025-9-20,12:30:36,0,0.000,0.001,0.000,35.64,35.77,35.72,36.19,35.92,36.26,26.11,26.05,52.38,996.18
2025-9-20,12:30:37,0,0.000,0.001,0.000,35.63,35.77,35.72,36.18,35.91,36.25,26.11,26.05,52.42,996.16
2025-9-20,12:30:38,0,0.000,0.001,0.000,35.62,35.76,35.71,36.18,35.90,36.24,26.11,26.04,52.44,996.18
2025-9-20,12:30:39,0,0.000,0.001,0.000,35.61,35.76,35.71,36.17,35.89,36.23,26.11,26.03,52.47,996.18
2025-9-20,12:30:40,0,0.000,0.001,0.000,35.61,35.75,35.70,36.16,35.88,36.23,26.11,26.02,52.49,996.19
2025-9-20,12:30:41,0,0.000,0.001,0.000,35.60,35.75,35.70,36.15,35.87,36.22,26.10,26.02,52.51,996.19
2025-9-20,12:30:42,0,0.000,0.001,0.000,35.59,35.75,35.69,36.14,35.86,36.21,26.10,26.01,52.52,996.21
2025-9-20,12:30:43,0,0.000,0.001,0.000,35.57,35.74,35.68,36.13,35.86,36.21,26.10,26.01,52.53,996.15
2025-9-20,12:30:44,0,0.000,0.001,0.000,35.57,35.73,35.67,36.12,35.85,36.20,26.10,26.00,52.54,996.18
2025-9-20,12:30:45,0,0.000,0.001,0.000,35.56,35.73,35.66,36.12,35.84,36.19,26.10,25.99,52.57,996.16
2025-9-20,12:30:46,0,0.000,0.001,0.000,35.55,35.72,35.66,36.11,35.83,36.18,26.10,25.99,52.58,996.19
2025-9-20,12:30:47,0,0.000,0.001,0.000,35.55,35.71,35.65,36.10,35.83,36.17,26.10,25.97,52.59,996.15
2025-9-20,12:30:48,0,0.000,0.001,0.000,35.54,35.71,35.64,36.09,35.82,36.17,26.10,25.97,52.60,996.17
2025-9-20,12:30:49,0,0.000,0.001,0.000,35.53,35.71,35.63,36.08,35.82,36.16,26.10,25.96,52.60,996.15
2025-9-20,12:30:50,0,0.000,0.001,0.000,35.52,35.70,35.62,36.07,35.81,36.15,26.09,25.96,52.60,996.16
2025-9-20,12:30:51,0,0.000,0.001,0.000,35.51,35.69,35.62,36.07,35.80,36.14,26.09,25.95,52.61,996.16
