Date,Time,PWM,Voltage (V),Current (A),Power (W),Thrmstr1,Thrmstr2,Thrmstr3,Thrmstr4,Thrmstr5,Thrmstr6,ThrmstrOut,BME_Temp,BME_Hum,BME_Press
2025-9-22,3:55:32,16,0.000,0.001,0.000,18.11,18.17,18.08,18.44,18.25,19.07,16.12,11.44,47.21,1017.43
2025-9-22,3:55:32,16,0.000,0.001,0.000,18.11,18.17,18.08,18.44,18.25,19.07,16.13,11.44,47.25,1017.45
2025-9-22,3:55:33,16,0.751,0.135,0.440,18.11,18.18,18.08,18.45,18.26,19.07,16.13,11.44,47.21,1017.41
2025-9-22,3:55:34,16,0.751,0.135,0.440,18.11,18.18,18.08,18.45,18.27,19.07,16.13,11.43,47.21,1017.41
2025-9-22,3:55:35,16,3.349,0.597,2.000,18.11,18.19,18.08,18.47,18.28,19.07,16.13,11.43,47.21,1017.38
2025-9-22,3:55:36,16,3.349,0.597,2.000,18.12,18.20,18.08,18.48,18.29,19.08,16.13,11.43,47.23,1017.40
2025-9-22,3:55:37,16,3.350,0.597,2.000,18.12,18.21,18.08,18.49,18.30,19.08,16.13,11.43,47.23,1017.41
2025-9-22,3:55:38,16,3.350,0.597,2.000,18.13,18.22,18.08,18.50,18.31,19.09,16.13,11.43,47.24,1017.40
2025-9-22,3:55:39,16,3.350,0.597,2.000,18.14,18.23,18.09,18.51,18.31,19.09,16.13,11.43,47.24,1017.41
2025-9-22,3:55:40,16,3.350,0.597,2.000,18.15,18.25,18.10,18.53,18.32,19.10,16.13,11.43,47.25,1017.42
2025-9-22,3:55:41,16,3.350,0.597,2.000,18.16,18.26,18.10,18.54,18.33,19.10,16.13,11.42,47.26,1017.41
2025-9-22,3:55:42,16,3.350,0.597,2.000,18.16,18.27,18.10,18.55,18.34,19.11,16.12,11.43,47.26,1017.42
2025-9-22,3:55:43,16,3.350,0.597,2.000,18.17,18.28,18.11,18.56,18.35,19.12,16.12,11.42,47.26,1017.42
2025-9-22,3:55:44,16,3.351,0.597,2.000,18.18,18.29,18.12,18.57,18.35,19.13,16.12,11.42,47.26,1017.41
2025-9-22,3:55:45,16,3.351,0.597,2.000,18.19,18.30,18.12,18.58,18.36,19.14,16.12,11.43,47.26,1017.41
2025-9-22,3:55:46,16,3.351,0.599,2.000,18.21,18.31,18.14,18.59,18.37,19.14,16.12,11.42,47.26,1017.40
2025-9-22,3:55:47,16,3.351,0.599,2.000,18.22,18.32,18.14,18.61,18.37,19.15,16.12,11.42,47.25,1017.42
2025-9-22,3:55:48,16,3.351,0.599,2.000,18.22,18.33,18.15,18.61,18.38,19.16,16.12,11.42,47.25,1017.42
2025-9-22,3:55:49,16,3.353,0.599,2.010,18.24,18.33,18.16,18.62,18.39,19.17,16.11,11.42,47.26,1017.42
2025-9-22,3:55:50,16,3.353,0.599,2.010,18.25,18.34,18.17,18.64,18.40,19.18,16.11,11.42,47.26,1017.40
2025-9-22,3:55:51,16,3.353,0.599,2.010,18.26,18.35,18.18,18.65,18.41,19.19,16.10,11.42,47.26,1017.41
2025-9-22,3:55:52,16,3.353,0.599,2.010,18.27,18.36,18.19,18.66,18.41,19.20,16.10,11.42,47.26,1017.41
2025-9-22,3:55:53,16,3.354,0.599,2.010,18.28,18.37,18.20,18.67,18.43,19.21,16.10,11.42,47.26,1017.45
2025-9-22,3:55:54,16,3.354,0.599,2.010,18.28,18.37,18.21,18.68,18.43,19.22,16.10,11.42,47.27,1017.42
2025-9-22,3:55:55,16,3.355,0.599,2.010,18.30,18.38,18.23,18.69,18.45,19.23,16.10,11.42,47.26,1017.44
2025-9-22,3:55:56,16,3.355,0.599,2.010,18.31,18.39,18.24,18.71,18.46,19.25,16.10,11.42,47.26,1017.43
2025-9-22,3:55:57,16,3.355,0.599,2.010,18.32,18.40,18.25,18.72,18.47,19.26,16.10,11.42,47.26,1017.41
2025-9-22,3:55:58,16,3.355,0.599,2.010,18.33,18.40,18.26,18.73,18.48,19.27,16.10,11.42,47.25,1017.42
2025-9-22,3:55:59,16,3.355,0.599,2.010,18.33,18.41,18.27,18.74,18.49,19.28,16.10,11.42,47.24,1017.41
